Compt_ID,year,month,srad
Salpine_F7,2009,12,19.01471042
Kwambo_F011A,2009,12,16.61276413
Nseleni_J006,2009,12,16.40923096
Terranera_B38,2009,12,16.61297649
South_Areas_B35b,2009,12,16.66771918
Kwambo_A017,2009,12,16.32168719
Teranera_C55,2009,12,16.65489219
Port_Durnford_B044,2009,12,15.72167428
Nyalazi_B032,2010,1,19.0010896
Palm_Ridge_C15a,2010,1,19.04923862
Futululu_E6a,2010,1,17.31354954
Mtubatuba_B003,2010,1,17.49627856
Trust_D13,2010,1,17.44040938
Trust_E23,2010,1,17.71946335
Trust_E24,2010,1,17.65398624
Mavuya_B3a,2010,1,19.3122622
Salpine_G22,2010,1,18.20151984
Salpine_G33,2010,1,18.46529748
Salpine_F7,2010,1,18.38822918
Kwambo_F011A,2010,1,17.78531353
Nseleni_J006,2010,1,17.6436303
Terranera_B38,2010,1,17.54329243
South_Areas_B35b,2010,1,17.64538986
Kwambo_A017,2010,1,18.08096412
Teranera_C55,2010,1,17.77766372
Port_Durnford_B044,2010,1,17.02747475
Nyalazi_B032,2010,2,21.02490707
Palm_Ridge_C15a,2010,2,21.08536216
Futululu_E6a,2010,2,20.94550406
Mtubatuba_B003,2010,2,21.03576934
Trust_D13,2010,2,20.91259832
Trust_E23,2010,2,21.11257728
Trust_E24,2010,2,21.05641543
Mavuya_B3a,2010,2,21.14940567
Salpine_G22,2010,2,20.99902832
Salpine_G33,2010,2,21.30614194
Salpine_F7,2010,2,21.13674223
Kwambo_F011A,2010,2,21.52508703
Nseleni_J006,2010,2,21.01047011
Terranera_B38,2010,2,21.19263841
South_Areas_B35b,2010,2,21.04430636
Kwambo_A017,2010,2,21.3059347
Teranera_C55,2010,2,21.06901248
Port_Durnford_B044,2010,2,21.1148137
Nyalazi_B032,2010,3,18.22147861
Palm_Ridge_C15a,2010,3,18.23173361
Futululu_E6a,2010,3,16.98458537
Mtubatuba_B003,2010,3,16.92727362
Trust_D13,2010,3,17.26695823
Trust_E23,2010,3,17.11493937
Trust_E24,2010,3,16.98629728
Mavuya_B3a,2010,3,18.26471487
Salpine_G22,2010,3,17.14812684
Salpine_G33,2010,3,17.40665277
Salpine_F7,2010,3,17.71041128
Kwambo_F011A,2010,3,17.60509879
Nseleni_J006,2010,3,16.90678251
Terranera_B38,2010,3,17.23870833
South_Areas_B35b,2010,3,17.16900018
Kwambo_A017,2010,3,17.40264144
Teranera_C55,2010,3,17.09620303
Port_Durnford_B044,2010,3,17.16950501
Nyalazi_B032,2010,4,14.4312817
Palm_Ridge_C15a,2010,4,14.71622684
Futululu_E6a,2010,4,13.57346833
Mtubatuba_B003,2010,4,13.58950712
Trust_D13,2010,4,13.63686348
Trust_E23,2010,4,13.65425759
Trust_E24,2010,4,13.55566033
Mavuya_B3a,2010,4,14.81407476
Salpine_G22,2010,4,13.90087513
Salpine_G33,2010,4,14.10608869
Salpine_F7,2010,4,14.58365493
Kwambo_F011A,2010,4,14.37749215
Nseleni_J006,2010,4,13.65956068
Terranera_B38,2010,4,14.13561493
South_Areas_B35b,2010,4,13.93124724
Kwambo_A017,2010,4,14.71154967
Teranera_C55,2010,4,13.94065831
Port_Durnford_B044,2010,4,14.61408897
Nyalazi_B032,2010,5,13.39036137
Palm_Ridge_C15a,2010,5,13.6352839
Futululu_E6a,2010,5,12.24777773
Mtubatuba_B003,2010,5,12.32842253
Trust_D13,2010,5,12.55440599
Trust_E23,2010,5,12.46382936
Trust_E24,2010,5,12.47329454
Mavuya_B3a,2010,5,13.73925924
