Compt_ID,year,month,tmp_max
Kwambo_F011A,2009,5,25.15763017
Nseleni_J006,2009,5,25.82282418
Terranera_B38,2009,5,25.30113261
South_Areas_B35b,2009,5,25.49302287
Kwambo_A017,2009,5,24.96784189
Teranera_C55,2009,5,25.48547444
Port_Durnford_B044,2009,5,25.05014562
Nyalazi_B032,2009,6,25.53669274
Palm_Ridge_C15a,2009,6,25.84639447
Futululu_E6a,2009,6,25.59872223
Mtubatuba_B003,2009,6,25.60537657
Trust_D13,2009,6,25.4944473
Trust_E23,2009,6,25.41199087
Trust_E24,2009,6,25.42630725
Mavuya_B3a,2009,6,25.96145707
Salpine_G22,2009,6,25.50724848
Salpine_G33,2009,6,25.22860238
Salpine_F7,2009,6,25.85258441
Kwambo_F011A,2009,6,24.77305799
Nseleni_J006,2009,6,25.38301797
Terranera_B38,2009,6,24.836394
South_Areas_B35b,2009,6,24.9818675
Kwambo_A017,2009,6,24.60258407
Teranera_C55,2009,6,24.9893471
Port_Durnford_B044,2009,6,24.6707705
Nyalazi_B032,2009,7,24.8232178
Palm_Ridge_C15a,2009,7,25.21861966
Futululu_E6a,2009,7,24.90549187
Mtubatuba_B003,2009,7,24.92994819
Trust_D13,2009,7,24.69028919
Trust_E23,2009,7,24.71931578
Trust_E24,2009,7,24.69566896
Mavuya_B3a,2009,7,25.35135934
Salpine_G22,2009,7,24.81923098
Salpine_G33,2009,7,24.63663971
Salpine_F7,2009,7,25.18853441
Kwambo_F011A,2009,7,24.08118704
Nseleni_J006,2009,7,24.73781991
Terranera_B38,2009,7,24.20518354
South_Areas_B35b,2009,7,24.36966157
Kwambo_A017,2009,7,23.8572007
Teranera_C55,2009,7,24.41922891
Port_Durnford_B044,2009,7,23.90333148
Nyalazi_B032,2009,8,25.01061561
Palm_Ridge_C15a,2009,8,25.42139373
Futululu_E6a,2009,8,25.14814597
Mtubatuba_B003,2009,8,25.22027688
Trust_D13,2009,8,24.94375299
Trust_E23,2009,8,25.02007362
Trust_E24,2009,8,25.00556019
Mavuya_B3a,2009,8,25.52454724
Salpine_G22,2009,8,25.05938663
Salpine_G33,2009,8,24.82853458
Salpine_F7,2009,8,25.33435213
Kwambo_F011A,2009,8,24.24727447
Nseleni_J006,2009,8,25.01034695
Terranera_B38,2009,8,24.38342974
South_Areas_B35b,2009,8,24.54018924
Kwambo_A017,2009,8,24.02151154
Teranera_C55,2009,8,24.58240155
Port_Durnford_B044,2009,8,24.07731012
Nyalazi_B032,2009,9,25.68643437
Palm_Ridge_C15a,2009,9,26.43376506
Futululu_E6a,2009,9,25.99407287
Mtubatuba_B003,2009,9,26.21990365
Trust_D13,2009,9,25.72918101
Trust_E23,2009,9,26.09822963
Trust_E24,2009,9,26.11038666
Mavuya_B3a,2009,9,26.44340638
Salpine_G22,2009,9,25.82702846
Salpine_G33,2009,9,25.69279454
Salpine_F7,2009,9,26.18472443
Kwambo_F011A,2009,9,24.81995189
Nseleni_J006,2009,9,25.93653354
Terranera_B38,2009,9,24.93088044
South_Areas_B35b,2009,9,25.04220257
Kwambo_A017,2009,9,24.60446389
Teranera_C55,2009,9,25.04857547
Port_Durnford_B044,2009,9,24.67669433
Nyalazi_B032,2009,10,25.63477188
Palm_Ridge_C15a,2009,10,26.43509549
Futululu_E6a,2009,10,25.95815585
Mtubatuba_B003,2009,10,26.15963518
Trust_D13,2009,10,25.75054254
Trust_E23,2009,10,26.17267865
Trust_E24,2009,10,26.1797488
Mavuya_B3a,2009,10,26.48243867
Salpine_G22,2009,10,25.89059247
Salpine_G33,2009,10,25.72069005
Salpine_F7,2009,10,26.2131707
Kwambo_F011A,2009,10,24.89670769
Nseleni_J006,2009,10,25.97940179
Terranera_B38,2009,10,24.95123496
South_Areas_B35b,2009,10,25.0668055
Kwambo_A017,2009,10,24.7265253
Teranera_C55,2009,10,25.0640188
Port_Durnford_B044,2009,10,24.81863345
Nyalazi_B032,2009,11,25.92180848
Palm_Ridge_C15a,2009,11,26.67722511
Futululu_E6a,2009,11,26.30217029
Mtubatuba_B003,2009,11,26.45454597
Trust_D13,2009,11,26.09583521
Trust_E23,2009,11,26.48127448
Trust_E24,2009,11,26.49904775
Mavuya_B3a,2009,11,26.74701203
Salpine_G22,2009,11,26.26802136
Salpine_G33,2009,11,26.01518384
Salpine_F7,2009,11,26.51774282
Kwambo_F011A,2009,11,25.20233444
Nseleni_J006,2009,11,26.30183638
Terranera_B38,2009,11,25.22629151
South_Areas_B35b,2009,11,25.33809945
Kwambo_A017,2009,11,24.94216019
Teranera_C55,2009,11,25.3176793
Port_Durnford_B044,2009,11,25.10933156
Nyalazi_B032,2009,12,29.28515418
Palm_Ridge_C15a,2009,12,29.82476142
Futululu_E6a,2009,12,29.22192427
Mtubatuba_B003,2009,12,29.09776473
Trust_D13,2009,12,29.61027602
Trust_E23,2009,12,28.99768415
Trust_E24,2009,12,29.06111811
Mavuya_B3a,2009,12,29.96764533
Salpine_G22,2009,12,29.33353381
Salpine_G33,2009,12,28.97878132
Salpine_F7,2009,12,30.2366962
Kwambo_F011A,2009,12,28.80768987
Nseleni_J006,2009,12,29.01156307
Terranera_B38,2009,12,28.67427886
South_Areas_B35b,2009,12,28.98691053
Kwambo_A017,2009,12,28.68859113
Teranera_C55,2009,12,29.22441957
Port_Durnford_B044,2009,12,28.34134185
Nyalazi_B032,2010,1,30.72740517
Palm_Ridge_C15a,2010,1,31.80398548
Futululu_E6a,2010,1,31.3048535
Mtubatuba_B003,2010,1,31.05633821
Trust_D13,2010,1,31.68207119
Trust_E23,2010,1,31.20936589
Trust_E24,2010,1,31.21608076
Mavuya_B3a,2010,1,31.59206811
Salpine_G22,2010,1,30.90205622
Salpine_G33,2010,1,30.60213895
Salpine_F7,2010,1,32.41244654
Kwambo_F011A,2010,1,30.73024952
Nseleni_J006,2010,1,31.33972147
Terranera_B38,2010,1,30.84520304
South_Areas_B35b,2010,1,31.25307029
Kwambo_A017,2010,1,30.18880502
Teranera_C55,2010,1,31.36726394
Port_Durnford_B044,2010,1,30.75948436
Nyalazi_B032,2010,2,31.24339406
Palm_Ridge_C15a,2010,2,32.24759215
Futululu_E6a,2010,2,31.92156095
Mtubatuba_B003,2010,2,31.74683871
Trust_D13,2010,2,32.21500599
Trust_E23,2010,2,31.75981283
Trust_E24,2010,2,31.78176265
Mavuya_B3a,2010,2,32.00659217
Salpine_G22,2010,2,31.40338164
Salpine_G33,2010,2,30.995978
Salpine_F7,2010,2,32.84881356
Kwambo_F011A,2010,2,31.1808875
Nseleni_J006,2010,2,31.85132044
Terranera_B38,2010,2,31.24066769
South_Areas_B35b,2010,2,31.6480725
Kwambo_A017,2010,2,30.69447069
Teranera_C55,2010,2,31.77274201
Port_Durnford_B044,2010,2,31.2645699
Nyalazi_B032,2010,3,30.33809739
Palm_Ridge_C15a,2010,3,31.37809195
Futululu_E6a,2010,3,30.90460127
Mtubatuba_B003,2010,3,30.75187298
Trust_D13,2010,3,31.21870961
Trust_E23,2010,3,30.78367168
Trust_E24,2010,3,30.78074442
Mavuya_B3a,2010,3,31.16957991
Salpine_G22,2010,3,30.49774159
Salpine_G33,2010,3,30.22388218
Salpine_F7,2010,3,32.01399693
Kwambo_F011A,2010,3,30.42367205
Nseleni_J006,2010,3,30.82090723
Terranera_B38,2010,3,30.44088475
South_Areas_B35b,2010,3,30.76912148
Kwambo_A017,2010,3,29.88165874
Teranera_C55,2010,3,30.86547743
Port_Durnford_B044,2010,3,30.43118564
Nyalazi_B032,2010,4,28.10243635
Palm_Ridge_C15a,2010,4,28.69169325
Futululu_E6a,2010,4,28.44343808
Mtubatuba_B003,2010,4,28.39656546
Trust_D13,2010,4,28.45213475
Trust_E23,2010,4,28.3947929
Trust_E24,2010,4,28.38634353
Mavuya_B3a,2010,4,28.60808697
Salpine_G22,2010,4,28.3044036
Salpine_G33,2010,4,28.1988931
Salpine_F7,2010,4,29.23701695
Kwambo_F011A,2010,4,28.44498896
Nseleni_J006,2010,4,28.32494897
Terranera_B38,2010,4,28.28492188
South_Areas_B35b,2010,4,28.39348062
Kwambo_A017,2010,4,27.94818135
Teranera_C55,2010,4,28.33160269
Port_Durnford_B044,2010,4,28.16917091
Nyalazi_B032,2010,5,27.75991762
Palm_Ridge_C15a,2010,5,28.34313592
Futululu_E6a,2010,5,28.31226873
Mtubatuba_B003,2010,5,28.30379463
Trust_D13,2010,5,28.15134303
Trust_E23,2010,5,28.15569511
Trust_E24,2010,5,28.16627259
Mavuya_B3a,2010,5,28.20691786
Salpine_G22,2010,5,28.01343994
Salpine_G33,2010,5,27.96364193
Salpine_F7,2010,5,28.64301301
Kwambo_F011A,2010,5,28.23885678
Nseleni_J006,2010,5,28.04806177
Terranera_B38,2010,5,27.95360073
South_Areas_B35b,2010,5,28.01978296
Kwambo_A017,2010,5,27.80765572
Teranera_C55,2010,5,27.98197702
Port_Durnford_B044,2010,5,27.94814923
Nyalazi_B032,2010,6,24.95186111
Palm_Ridge_C15a,2010,6,25.49741562
Futululu_E6a,2010,6,25.171606
Mtubatuba_B003,2010,6,25.25694591
Trust_D13,2010,6,25.13822116
Trust_E23,2010,6,25.18447443
Trust_E24,2010,6,25.24115234
Mavuya_B3a,2010,6,25.37859669
Salpine_G22,2010,6,24.82963419
Salpine_G33,2010,6,24.96344813
Salpine_F7,2010,6,25.22998233
Kwambo_F011A,2010,6,24.87029762
Nseleni_J006,2010,6,25.2218226
Terranera_B38,2010,6,24.91692175
South_Areas_B35b,2010,6,24.98667108
Kwambo_A017,2010,6,24.57015535
Teranera_C55,2010,6,24.89276847
Port_Durnford_B044,2010,6,24.66178412
Nyalazi_B032,2010,7,25.03534831
Palm_Ridge_C15a,2010,7,25.61731567
Futululu_E6a,2010,7,25.3222572
Mtubatuba_B003,2010,7,25.3835803
Trust_D13,2010,7,25.36842067
Trust_E23,2010,7,25.29493837
Trust_E24,2010,7,25.37357096
Mavuya_B3a,2010,7,25.46166813
Salpine_G22,2010,7,24.92723465
Salpine_G33,2010,7,24.99441082
Salpine_F7,2010,7,25.40738015
Kwambo_F011A,2010,7,25.0319463
Nseleni_J006,2010,7,25.38545411
Terranera_B38,2010,7,25.05540322
South_Areas_B35b,2010,7,25.15676403
Kwambo_A017,2010,7,24.74166827
Teranera_C55,2010,7,25.02741696
Port_Durnford_B044,2010,7,24.92789022
Nyalazi_B032,2010,8,25.77375953
Palm_Ridge_C15a,2010,8,26.32656879
Futululu_E6a,2010,8,26.04971993
Mtubatuba_B003,2010,8,26.05562108
Trust_D13,2010,8,26.27217215
Trust_E23,2010,8,25.90388207
Trust_E24,2010,8,26.03062593
Mavuya_B3a,2010,8,26.15912953
Salpine_G22,2010,8,25.77203398
Salpine_G33,2010,8,25.46703738
Salpine_F7,2010,8,26.30921587
Kwambo_F011A,2010,8,26.10013812
Nseleni_J006,2010,8,26.12350825
Terranera_B38,2010,8,25.82969319
South_Areas_B35b,2010,8,25.95966034
Kwambo_A017,2010,8,25.67628682
Teranera_C55,2010,8,25.84988666
Port_Durnford_B044,2010,8,25.88953152
Nyalazi_B032,2010,9,27.35317287
Palm_Ridge_C15a,2010,9,27.70873692
Futululu_E6a,2010,9,27.71298908
Mtubatuba_B003,2010,9,27.71910566
Trust_D13,2010,9,27.67086022
Trust_E23,2010,9,27.17623707
Trust_E24,2010,9,27.5383768
Mavuya_B3a,2010,9,27.67021924
Salpine_G22,2010,9,27.45496201
Salpine_G33,2010,9,26.64872423
Salpine_F7,2010,9,27.73588287
Kwambo_F011A,2010,9,27.35315505
Nseleni_J006,2010,9,27.37181999
Terranera_B38,2010,9,26.8816935
South_Areas_B35b,2010,9,27.02970367
Kwambo_A017,2010,9,27.07291767
Teranera_C55,2010,9,27.06380322
Port_Durnford_B044,2010,9,27.23567123
Nyalazi_B032,2010,10,27.08464516
Palm_Ridge_C15a,2010,10,27.42507539
Futululu_E6a,2010,10,27.2706105
Mtubatuba_B003,2010,10,27.29047852
Trust_D13,2010,10,27.27135578
Trust_E23,2010,10,26.8617134
Trust_E24,2010,10,27.20431869
Mavuya_B3a,2010,10,27.46906992
Salpine_G22,2010,10,27.27974063
Salpine_G33,2010,10,26.48648989
Salpine_F7,2010,10,27.49880372
Kwambo_F011A,2010,10,27.12375087
Nseleni_J006,2010,10,27.09589097
Terranera_B38,2010,10,26.73683733
South_Areas_B35b,2010,10,26.88541298
Kwambo_A017,2010,10,26.84812767
Teranera_C55,2010,10,26.9605462
Port_Durnford_B044,2010,10,26.99101393
Nyalazi_B032,2010,11,28.6137279
Palm_Ridge_C15a,2010,11,29.08762909
Futululu_E6a,2010,11,28.79682582
Mtubatuba_B003,2010,11,28.86569653
Trust_D13,2010,11,28.62562358
Trust_E23,2010,11,28.14261247
Trust_E24,2010,11,28.70346677
Mavuya_B3a,2010,11,29.19576388
Salpine_G22,2010,11,28.76159238
Salpine_G33,2010,11,27.69947962
Salpine_F7,2010,11,29.12712424
Kwambo_F011A,2010,11,28.16864506
Nseleni_J006,2010,11,28.69013733
Terranera_B38,2010,11,28.14349193
South_Areas_B35b,2010,11,28.51388586
Kwambo_A017,2010,11,28.10798366
Teranera_C55,2010,11,28.59087431
Port_Durnford_B044,2010,11,28.39988011
Nyalazi_B032,2010,12,28.88422228
Palm_Ridge_C15a,2010,12,29.31934909
Futululu_E6a,2010,12,28.97334487
Mtubatuba_B003,2010,12,29.03584402
Trust_D13,2010,12,28.81743722
Trust_E23,2010,12,28.32173404
Trust_E24,2010,12,28.85686934
Mavuya_B3a,2010,12,29.4430385
Salpine_G22,2010,12,28.95982262
Salpine_G33,2010,12,27.92568745
Salpine_F7,2010,12,29.39876517
Kwambo_F011A,2010,12,28.37898633
Nseleni_J006,2010,12,28.86263859
Terranera_B38,2010,12,28.3576085
South_Areas_B35b,2010,12,28.73677791
Kwambo_A017,2010,12,28.33703196
Teranera_C55,2010,12,28.8026909
Port_Durnford_B044,2010,12,28.60754591
Nyalazi_B032,2011,1,30.09343462
Palm_Ridge_C15a,2011,1,30.47044313
Futululu_E6a,2011,1,30.03296282
Mtubatuba_B003,2011,1,29.88403197
Trust_D13,2011,1,30.27173293
Trust_E23,2011,1,29.70632295
Trust_E24,2011,1,29.94187811
Mavuya_B3a,2011,1,30.67903856
Salpine_G22,2011,1,29.89723824
Salpine_G33,2011,1,29.28348609
Salpine_F7,2011,1,30.67665045
Kwambo_F011A,2011,1,29.88130271
Nseleni_J006,2011,1,29.83714992
Terranera_B38,2011,1,29.67849787
South_Areas_B35b,2011,1,29.92567405
