Compt_ID,year,month,tmp_min
Kwambo_F011A,2010,9,15.77383607
Nseleni_J006,2010,9,16.42344332
Terranera_B38,2010,9,15.47274885
South_Areas_B35b,2010,9,15.52547442
Kwambo_A017,2010,9,16.62307795
Teranera_C55,2010,9,16.42651526
Port_Durnford_B044,2010,9,15.98018984
Nyalazi_B032,2010,10,17.40012433
Palm_Ridge_C15a,2010,10,17.50999013
Futululu_E6a,2010,10,17.38617602
Mtubatuba_B003,2010,10,17.48863859
Trust_D13,2010,10,17.36906534
Trust_E23,2010,10,17.65842427
Trust_E24,2010,10,17.66646446
Mavuya_B3a,2010,10,17.59300646
Salpine_G22,2010,10,17.61083204
Salpine_G33,2010,10,17.61272055
Salpine_F7,2010,10,17.23627218
Kwambo_F011A,2010,10,17.43358776
Nseleni_J006,2010,10,17.75329823
Terranera_B38,2010,10,17.72230493
South_Areas_B35b,2010,10,17.64592139
Kwambo_A017,2010,10,17.55791755
Teranera_C55,2010,10,17.82306861
Port_Durnford_B044,2010,10,17.51471408
Nyalazi_B032,2010,11,18.8619041
Palm_Ridge_C15a,2010,11,18.93064217
Futululu_E6a,2010,11,18.74306983
Mtubatuba_B003,2010,11,18.99876943
Trust_D13,2010,11,18.89002406
Trust_E23,2010,11,18.64817812
Trust_E24,2010,11,19.00008631
Mavuya_B3a,2010,11,19.22772788
Salpine_G22,2010,11,19.53971608
Salpine_G33,2010,11,18.72553476
Salpine_F7,2010,11,18.60178292
Kwambo_F011A,2010,11,18.44667281
Nseleni_J006,2010,11,19.39428584
Terranera_B38,2010,11,18.92312148
South_Areas_B35b,2010,11,19.08582881
Kwambo_A017,2010,11,18.80586673
Teranera_C55,2010,11,19.43890237
Port_Durnford_B044,2010,11,18.6489306
Nyalazi_B032,2010,12,19.57782613
Palm_Ridge_C15a,2010,12,19.84519719
Futululu_E6a,2010,12,19.74068098
Mtubatuba_B003,2010,12,19.77108273
Trust_D13,2010,12,19.83787017
Trust_E23,2010,12,19.46685224
Trust_E24,2010,12,19.78529737
Mavuya_B3a,2010,12,19.97489044
Salpine_G22,2010,12,20.13363017
Salpine_G33,2010,12,19.45124612
Salpine_F7,2010,12,19.46716928
Kwambo_F011A,2010,12,19.40159451
Nseleni_J006,2010,12,20.13515746
Terranera_B38,2010,12,19.8606874
South_Areas_B35b,2010,12,20.06973557
Kwambo_A017,2010,12,19.56710874
Teranera_C55,2010,12,20.22700762
Port_Durnford_B044,2010,12,19.62101097
Nyalazi_B032,2011,1,19.84436431
Palm_Ridge_C15a,2011,1,20.29242818
Futululu_E6a,2011,1,19.96453845
Mtubatuba_B003,2011,1,20.00811433
Trust_D13,2011,1,20.28177727
Trust_E23,2011,1,20.2787562
Trust_E24,2011,1,20.31510632
Mavuya_B3a,2011,1,20.67636905
Salpine_G22,2011,1,20.64579787
Salpine_G33,2011,1,20.44924003
Salpine_F7,2011,1,20.28587008
Kwambo_F011A,2011,1,20.66444712
Nseleni_J006,2011,1,20.6304581
Terranera_B38,2011,1,20.70806171
South_Areas_B35b,2011,1,20.69764482
Kwambo_A017,2011,1,20.38281498
Teranera_C55,2011,1,20.88350125
Port_Durnford_B044,2011,1,20.60286647
Nyalazi_B032,2011,2,19.78953989
Palm_Ridge_C15a,2011,2,20.17796072
Futululu_E6a,2011,2,19.86681342
Mtubatuba_B003,2011,2,19.93139424
Trust_D13,2011,2,20.14382035
Trust_E23,2011,2,20.2016299
Trust_E24,2011,2,20.23077899
Mavuya_B3a,2011,2,20.58355925
Salpine_G22,2011,2,20.61931987
Salpine_G33,2011,2,20.459653
Salpine_F7,2011,2,20.25546142
Kwambo_F011A,2011,2,20.65664139
Nseleni_J006,2011,2,20.52451508
Terranera_B38,2011,2,20.69643747
South_Areas_B35b,2011,2,20.64073504
Kwambo_A017,2011,2,20.39834059
